"Date","Time","Open","High","Low","Close","Volume"
08/25/2014,0930,101.81,101.87,101.69,101.78,1063311
08/25/2014,0931,101.76,101.88,101.76,101.83,363858
08/25/2014,0932,101.83,101.87,101.8,101.84,254004
08/25/2014,0933,101.83,101.96,101.82,101.95,270345
08/25/2014,0934,101.95,101.99,101.95,101.97,232036
08/25/2014,0935,101.97,101.99,101.9,101.92,250788
08/25/2014,0936,101.92,101.95,101.88,101.93,181494
08/25/2014,0937,101.94,101.95,101.92,101.93,174275
08/25/2014,0938,101.93,101.97,101.9,101.97,227778
08/25/2014,0939,101.96,101.98,101.95,101.97,177419
08/25/2014,0940,101.97,102.1,101.96,102.05,914189
08/25/2014,0941,102.06,102.17,102.04,102.17,296464
08/25/2014,0942,102.16,102.17,102,102.06,275416
08/25/2014,0943,102.05,102.08,101.87,101.87,309596
08/25/2014,0944,101.87,101.94,101.83,101.92,212213
08/25/2014,0945,101.91,102.04,101.91,102.04,183802
08/25/2014,0946,102.04,102.1,102.03,102.09,212604
08/25/2014,0947,102.09,102.1,102.07,102.09,125636
08/25/2014,0948,102.08,102.15,102.07,102.1,236773
08/25/2014,0949,102.13,102.15,102.09,102.11,158098
08/25/2014,0950,102.12,102.14,102.05,102.05,219099
08/25/2014,0951,102.05,102.07,101.97,102.04,221052
08/25/2014,0952,102.04,102.07,101.91,101.93,263102
08/25/2014,0953,101.93,101.93,101.85,101.88,315553
08/25/2014,0954,101.88,102,101.87,101.97,206979
08/25/2014,0955,101.99,101.99,101.88,101.91,131180
08/25/2014,0956,101.92,101.97,101.9,101.95,128090
08/25/2014,0957,101.95,101.96,101.88,101.89,128818
08/25/2014,0958,101.89,101.9,101.81,101.81,174280
08/25/2014,0959,101.82,101.84,101.79,101.81,300683
08/25/2014,1000,101.8,101.84,101.75,101.8,246246
08/25/2014,1001,101.8,101.88,101.75,101.8,290956
08/25/2014,1002,101.8,101.85,101.8,101.84,107477
08/25/2014,1003,101.84,101.85,101.82,101.84,155228
08/25/2014,1004,101.85,101.88,101.82,101.88,131330
08/25/2014,1005,101.88,101.93,101.88,101.91,167671
08/25/2014,1006,101.91,101.92,101.84,101.88,128041
08/25/2014,1007,101.88,101.88,101.8,101.81,159477
08/25/2014,1008,101.81,101.86,101.81,101.83,109503
08/25/2014,1009,101.83,101.85,101.77,101.82,161863
08/25/2014,1010,101.81,101.84,101.81,101.82,82833
08/25/2014,1011,101.82,101.84,101.8,101.82,142513
08/25/2014,1012,101.83,101.84,101.72,101.72,225781
08/25/2014,1013,101.73,101.73,101.64,101.7,299412
08/25/2014,1014,101.71,101.75,101.69,101.74,115056
08/25/2014,1015,101.74,101.75,101.6,101.66,242250
08/25/2014,1016,101.67,101.7,101.56,101.59,242378
08/25/2014,1017,101.59,101.6,101.54,101.57,182672
08/25/2014,1018,101.58,101.69,101.57,101.67,169149
08/25/2014,1019,101.67,101.68,101.63,101.67,80277
08/25/2014,1020,101.68,101.69,101.66,101.67,75202
08/25/2014,1021,101.67,101.67,101.63,101.63,113994
08/25/2014,1022,101.63,101.65,101.6,101.65,97441
08/25/2014,1023,101.64,101.75,101.64,101.75,185914
08/25/2014,1024,101.76,101.76,101.68,101.74,153497
08/25/2014,1025,101.73,101.75,101.63,101.63,173737
08/25/2014,1026,101.63,101.63,101.57,101.57,286640
08/25/2014,1027,101.58,101.62,101.55,101.61,111005
08/25/2014,1028,101.6,101.69,101.59,101.67,129310
08/25/2014,1029,101.67,101.74,101.66,101.74,98233
08/25/2014,1030,101.74,101.78,101.73,101.77,113313
08/25/2014,1031,101.77,101.78,101.72,101.75,92798
08/25/2014,1032,101.75,101.76,101.69,101.69,67042
08/25/2014,1033,101.7,101.75,101.69,101.73,42604
08/25/2014,1034,101.73,101.74,101.71,101.72,76709
08/25/2014,1035,101.72,101.85,101.72,101.84,154284
08/25/2014,1036,101.83,101.87,101.82,101.85,132330
08/25/2014,1037,101.86,101.87,101.83,101.86,68197
08/25/2014,1038,101.86,101.86,101.78,101.8,114679
08/25/2014,1039,101.8,101.81,101.78,101.8,100519
08/25/2014,1040,101.79,101.8,101.78,101.79,62125
08/25/2014,1041,101.79,101.8,101.78,101.8,63863
08/25/2014,1042,101.8,101.81,101.74,101.8,117000
08/25/2014,1043,101.8,101.84,101.79,101.84,87036
08/25/2014,1044,101.84,101.86,101.83,101.85,80561
08/25/2014,1045,101.86,101.93,101.86,101.9,172947
08/25/2014,1046,101.9,101.9,101.83,101.89,116247
08/25/2014,1047,101.89,101.91,101.87,101.91,68059
08/25/2014,1048,101.92,101.96,101.9,101.94,93642
08/25/2014,1049,101.94,101.97,101.92,101.97,44351
08/25/2014,1050,101.96,102.02,101.96,102,361792
08/25/2014,1051,102,102.01,101.97,102,127317
08/25/2014,1052,102,102.01,101.97,102,104112
08/25/2014,1053,102,102,101.95,101.97,96341
08/25/2014,1054,101.97,101.99,101.96,101.98,58503
08/25/2014,1055,101.98,102,101.96,101.99,112299
08/25/2014,1056,101.99,102,101.96,101.99,70586
08/25/2014,1057,101.98,102,101.96,101.98,93719
08/25/2014,1058,101.98,101.99,101.96,101.97,68434
08/25/2014,1059,101.97,101.99,101.93,101.96,125845
